t,x,y
16.79622,188.3708,-341.2464
16.82955,257.122,-285.9979
16.86288,269.8855,-278.951
16.8962,299.1858,-252.7421
16.92953,314.1151,-236.5159
16.96285,311.7579,-234.791
16.99618,293.0134,-244.6111
17.0295,265.1357,-273.2213
17.06283,232.5797,-321.0635
17.09616,171.7263,-356.1354
17.12948,89.76446,-364.6755
17.16281,6.15225,-373.689
17.19613,-80.23486,-361.1484
17.22946,-166.9879,-349.4695
17.26279,-211.1749,-315.228
17.29611,-257.8975,-283.6373
17.32944,-279.7192,-253.7684
17.36276,-282.4072,-231.5764
17.39609,-284.6091,-229.379
17.42941,-274.8761,-241.7548
17.46274,-259.0751,-271.6871
17.49607,-226.9084,-309.3374
17.52939,-174.8745,-345.1872
17.56272,-104.4964,-370.8168
17.59604,-25.99848,-381.9176
17.62937,57.53328,-369.1909
17.6627,141.3202,-360.1061
17.69602,218.9568,-332.8996
17.72935,252.2451,-312.9313
17.76267,282.273,-273.5784
17.796,297.9792,-246.6188
17.82932,308.2987,-238.4532
17.86265,301.9667,-241.8626
17.89598,287.7611,-268.0921
17.9293,258.6206,-305.5641
17.96263,200.476,-330.0043
17.99595,138.8847,-368.1498
18.02928,54.50066,-377.676
18.06261,-33.36872,-373.7617
18.09593,-119.2596,-371.2893
18.12926,-199.6208,-333.6343
18.16258,-235.4479,-308.9509
18.19591,-264.5005,-273.0963
18.22923,-278.841,-246.6845
18.26256,-279.8326,-232.9768
18.29589,-276.0439,-236.9081
18.32921,-271.5145,-261.0624
18.36254,-237.0298,-286.6243
18.39586,-205.4888,-332.2294
18.42919,-144.738,-364.0985
18.46252,-64.61605,-373.6242
18.49584,15.82771,-373.4895
18.52917,95.25284,-369.6558
18.56249,174.7921,-352.1796
18.59582,220.9863,-332.5185
18.62915,261.1416,-294.161
18.66247,287.1015,-263.4912
18.6958,302.9754,-247.5881
18.72912,304.5994,-245.1117
18.76245,292.863,-255.8671
18.79577,261.0469,-277.1144
18.8291,232.27,-324.0921
18.86243,173.7046,-356.1031
18.89575,97.54693,-371.1087
18.92908,13.04118,-373.2874
18.9624,-72.5309,-368.302
18.99573,-156.743,-357.4653
19.02906,-227.6018,-315.2889
19.06238,-247.0544,-291.6454
19.09571,-265.6352,-260.6268
19.12903,-278.4968,-241.6626
19.16236,-280.3441,-238.984
19.19568,-275.8277,-253.0791
19.22901,-249.8389,-275.6173
19.26234,-224.9809,-316.3866
19.29566,-168.9804,-345.8923
19.32899,-98.37318,-365.7865
19.36231,-29.11894,-374.332
19.39564,52.03189,-373.2597
19.42897,137.4247,-351.6839
19.46229,209.4413,-344.0761
19.49562,242.4495,-315.922
19.52894,279.9949,-287.2315
19.56227,288.5103,-254.2899
19.59559,304.8765,-250.7023
19.62892,301.2026,-255.586
19.66225,279.4055,-273.4954
19.69557,242.9901,-302.3301
19.7289,201.7376,-343.9842
19.76222,133.2765,-366.8667
19.79555,53.59501,-371.0742
19.82888,-33.85661,-369.9351
19.8622,-111.604,-363.2248
19.89553,-174.1823,-339.675
19.92885,-226.5112,-309.72
19.96218,-252.7948,-275.6972
19.9955,-271.2637,-253.5904
20.02883,-291.112,-249.7603
20.06216,-285.8272,-253.9985
20.09548,-265.6794,-271.7387
20.12881,-236.8116,-301.7092
20.16213,-193.0086,-335.17
20.19546,-123.9302,-352.8105
20.22879,-56.70358,-372.6108
20.26211,17.62306,-369.6799
20.29544,95.61076,-373.1849
20.32876,174.7104,-354.2837
20.36209,213.088,-325.7059
20.39541,252.3099,-293.0283
20.42874,285.3926,-272.6284
20.46207,298.9214,-256.6577
20.49539,300.5552,-256.6963
20.52872,284.3148,-266.658
20.56204,256.8299,-293.4137
20.59537,217.1984,-327.3911
20.6287,158.8056,-353.0757
20.66202,86.55947,-371.8872
20.69535,4.310504,-372.6126
20.72867,-77.54676,-362.5077
20.762,-161.6612,-354.4365
20.79532,-196.6271,-317.6122
20.82865,-237.224,-289.2307
20.86198,-268.9408,-268.6481
20.8953,-277.909,-252.7434
20.92863,-272.4673,-248.7848
20.96195,-261.881,-261.7776
20.99528,-246.6104,-290.6488
21.02861,-208.5994,-323.4199
21.06193,-157.4249,-355.2851
21.09526,-84.56032,-366.5818
21.12858,-15.93537,-381.2311
21.16191,64.54348,-371.2076
21.19523,139.1225,-365.4583
21.22856,191.5017,-340.0041
21.26189,239.3239,-312.1661
21.29521,266.9733,-279.1301
21.32854,283.0455,-258.7468
21.36186,290.6791,-255.0883
21.39519,280.9663,-258.104
21.42852,265.1166,-283.8808
21.46184,228.891,-314.5019
21.49517,184.6691,-353.3313
21.52849,114.6727,-367.4546
21.56182,36.88616,-374.1045
21.59514,-45.43742,-370.5502
21.62847,-128.5806,-369.3263
21.6618,-182.4757,-337.2836
21.69512,-228.7544,-307.1761
21.72845,-252.041,-277.4309
21.76177,-280.0018,-265.884
21.7951,-269.9526,-251.7437
21.82843,-264.9161,-259.9936
21.86175,-244.4805,-279.9011
21.89508,-224.3374,-317.6754
21.9284,-173.5211,-345.3546
21.96173,-113.1383,-370.7254
21.99506,-41.22882,-377.7065
22.02838,35.7749,-375.9987
22.06171,110.2683,-370.3584
22.09503,187.6208,-326.5849
22.12836,225.0513,-329.4071
22.16168,249.1973,-284.3978
22.19501,279.6413,-271.0141
22.22834,282.0078,-253.7673
22.26166,288.4198,-264.4896
22.29499,268.4082,-278.8943
22.32831,234.3224,-301.0644
22.36164,197.4878,-343.6307
22.39497,137.995,-372.1896
22.42829,62.29004,-376.3601
22.46162,-19.49425,-382.8939
22.49494,-98.13101,-370.8037
22.52827,-167.3428,-353.0152
22.56159,-212.0566,-319.2804
22.59492,-237.4691,-285.7429
22.62825,-256.0255,-263.8368
22.66157,-275.3696,-259.8877
22.6949,-265.2754,-260.6097
22.72822,-249.0107,-275.6269
22.76155,-233.1093,-310.2358
22.79488,-186.8502,-337.2902
22.8282,-126.3797,-359.1847
22.86153,-59.16858,-374.0855
22.89485,13.49496,-375.535
22.92818,88.18492,-378.9024
22.9615,167.1898,-344.649
22.99483,202.2013,-332.5285
23.02816,251.2968,-314.4558
23.06148,269.0387,-278.1148
23.09481,282.897,-265.891
23.12813,282.9708,-264.929
23.16146,275.2508,-279.8413
23.19479,247.0123,-304.1435
23.22811,210.4643,-339.0943
23.26144,153.3456,-364.5885
23.29476,81.70316,-374.4392
23.32809,4.942765,-377.5774
23.36141,-74.16485,-370.4845
23.39474,-153.4181,-359.0862
23.42807,-188.231,-323.6049
23.46139,-230.0107,-297.2868
23.49472,-254.7765,-275.6986
23.52804,-263.8198,-261.5885
23.56137,-264.1895,-261.4212
23.5947,-255.6943,-275.8096
23.62802,-230.0466,-299.4529
23.66135,-197.6078,-331.3578
23.69467,-143.7518,-354.6638
23.728,-83.41534,-380.5917
23.76132,-7.373829,-379.3934
23.79465,66.66226,-385.0583
23.82798,130.7521,-366.0343
23.8613,189.3636,-346.508
23.89463,235.0085,-320.5009
23.92795,257.0417,-285.1801
23.96128,272.9515,-268.844
23.99461,280.6562,-268.3437
24.02793,273.2944,-277.6428
24.06126,248.8075,-298.3188
24.09458,208.4976,-319.1474
24.12791,166.1817,-361.9431
24.16123,99.78557,-376.3912
24.19456,24.85498,-380.1681
24.22789,-53.76158,-375.3293
24.26121,-132.9687,-367.1079
24.29454,-180.2074,-338.7794
24.32786,-217.8769,-306.3618
24.36119,-247.2889,-284.5387
24.39452,-254.6645,-265.116
24.42784,-272.8431,-270.6705
24.46117,-254.938,-273.6692
24.49449,-233.353,-294.9496
24.52782,-207.324,-328.6403
24.56114,-158.335,-356.1819
24.59447,-95.73108,-373.4225
24.6278,-28.48545,-388.7428
24.66112,48.32545,-386.9823
24.69445,123.9019,-376.1542
24.72777,198.1586,-339.4667
24.7611,221.0759,-324.3232
24.79443,244.991,-287.1917
24.82775,271.2607,-276.6201
24.86108,277.9192,-271.0377
24.8944,272.3335,-277.5659
24.92773,253.1059,-297.1227
24.96105,224.0016,-329.4407
24.99438,169.5292,-344.252
25.02771,112.6077,-375.0169
25.06103,38.34598,-375.4498
25.09436,-37.42715,-372.7881
25.12768,-116.5835,-372.7824
25.16101,-188.8158,-340.4545
25.19434,-219.0856,-322.591
25.22766,-233.9396,-286.6281
25.26099,-251.5251,-270.9698
25.29431,-257.9114,-266.7033
25.32764,-251.6441,-272.8969
25.36096,-235.7084,-293.628
25.39429,-213.4307,-326.4587
25.42762,-167.4911,-352.3074
25.46094,-109.5897,-375.8069
25.49427,-41.90721,-373.3044
25.52759,32.4345,-388.1784
25.56092,108.6855,-376.1902
25.59425,165.9808,-361.0114
25.62757,207.4199,-325.9173
25.6609,252.0671,-312.2833
25.69422,266.3894,-283.7424
25.72755,277.8859,-277.947
25.76088,274.0897,-281.8215
25.7942,250.1118,-292.1733
25.82753,228.3191,-327.5758
25.86085,175.8069,-342.1188
25.89418,123.5514,-378.9765
25.9275,50.57799,-377.2461
25.96083,-24.44438,-383.1315
25.99416,-101.1145,-376.5881
26.02748,-175.2218,-347.0594
26.06081,-205.7675,-327.1866
26.09413,-231.525,-297.7316
26.12746,-247.6959,-278.7824
26.16079,-253.7734,-270.4824
26.19411,-250.1681,-274.4774
26.22744,-231.8376,-289.5848
26.26076,-215.4269,-322.4942
26.29409,-171.7326,-348.2579
26.32741,-113.5972,-368.546
26.36074,-47.71972,-375.9711
26.39407,22.79124,-383.0461
26.42739,96.72281,-381.1964
26.46072,155.4332,-365.4001
26.49404,205.6878,-342.1339
26.52737,238.9826,-312.4011
26.5607,253.4065,-281.7639
26.59402,271.4763,-279.9858
26.62735,269.3827,-281.9066
26.66067,251.4549,-293.8291
26.694,223.2871,-317.217
26.72732,181.2815,-342.693
26.76065,129.322,-374.5587
26.79398,58.31013,-373.5033
26.8273,-15.99346,-388.1407
26.86063,-90.25991,-380.4683
26.89395,-143.5355,-354.111
26.92728,-193.7525,-330.1901
26.96061,-228.744,-306.5222
26.99393,-242.4905,-282.8194
27.02726,-251.2005,-273.3877
27.06058,-247.9521,-276.3833
27.09391,-235.7558,-292.5733
27.12723,-211.1666,-316.2616
27.16056,-173.1771,-344.4257
27.19389,-115.2437,-362.2948
27.22721,-57.34095,-387.8759
27.26054,16.76373,-385.3546
27.29386,89.02567,-384.8366
27.32719,145.0048,-366.1406
27.36052,197.4105,-345.4417
27.39384,235.1388,-320.1967
27.42717,261.0235,-300.1305
27.46049,259.5979,-275.7584
27.49382,260.0077,-277.9807
27.52714,247.3796,-288.8285
27.56047,231.2409,-326.1394
27.5938,187.581,-347.3258
27.62712,130.6467,-371.0117
27.66045,63.57869,-375.0179
27.69377,-6.408826,-379.437
27.7271,-79.66507,-374.0673
27.76043,-139.6975,-360.8624
27.79375,-190.0162,-337.0624
27.82708,-208.9147,-299.1816
27.8604,-248.8634,-293.6942
27.89373,-258.8831,-283.5384
27.92705,-257.1369,-285.3028
27.96038,-229.5258,-289.6473
27.99371,-210.6763,-315.5424
28.02703,-175.8192,-343.1671
28.06036,-120.6456,-363.6244
28.09368,-59.12312,-382.834
28.12701,10.42697,-386.1466
28.16034,82.30842,-381.6154
28.19366,139.7223,-369.3091
28.22699,187.3146,-341.5202
28.26031,228.0814,-321.4031
28.29364,247.2582,-292.8776
28.32696,264.8133,-289.1007
28.36029,266.2516,-288.7586
28.39362,251.6638,-296.764
