t,x,y
12.46247,227.2122,-249.4603
12.4958,258.4844,-219.6189
12.52912,257.2518,-206.5862
12.56244,264.9078,-188.7774
12.59576,276.7257,-188.6959
12.62908,266.651,-186.9118
12.66241,262.1225,-204.6044
12.69573,242.0231,-224.756
12.72905,216.4927,-255.1296
12.76237,177.7341,-282.1316
12.79569,127.9135,-308.4532
12.82902,71.51751,-322.259
12.86234,10.28462,-329.7913
12.89566,-56.08993,-327.6882
12.92898,-116.8284,-314.7209
12.96231,-162.8265,-293.0679
12.99563,-203.092,-266.584
13.02895,-227.3305,-234.8244
13.06227,-245.7187,-210.6686
13.09559,-258.75,-195.0423
13.12892,-262.7976,-187.8393
13.16224,-261.0683,-190.7252
13.19556,-252.0526,-202.9364
13.22888,-235.4438,-222.7157
13.2622,-212.9524,-251.0902
13.29553,-177.5947,-278.5853
13.32885,-133.3488,-304.4752
13.36217,-81.09132,-322.5757
13.39549,-25.5196,-334.9082
13.42881,37.09511,-328.2403
13.46214,96.38836,-315.62
13.49546,151.0638,-300.6619
13.52878,200.3818,-271.2857
13.5621,222.6262,-250.5861
13.59543,247.6916,-226.6489
13.62875,264.3668,-207.006
13.66207,273.1576,-195.0042
13.69539,273.9187,-192.8705
13.72871,266.6213,-198.9529
13.76204,254.004,-216.7696
13.79536,232.4625,-241.0792
13.82868,200.8438,-268.5388
13.862,156.8945,-292.9429
13.89532,104.8929,-314.4631
13.92865,46.27921,-328.1056
13.96197,-22.42987,-331.2119
13.99529,-83.0899,-321.1862
14.02861,-145.2565,-300.2613
14.06194,-194.1445,-267.8121
14.09526,-229.7985,-236.2611
14.12858,-241.2349,-229.9847
14.1619,-249.7528,-206.0098
14.19522,-258.4422,-193.9184
14.22855,-260.7123,-190.5353
14.26187,-255.7397,-197.4402
14.29519,-243.6637,-213.6031
14.32851,-225.4571,-237.6801
14.36183,-195.5121,-263.7005
14.39516,-158.0015,-291.9138
14.42848,-110.2824,-316.012
14.4618,-56.9963,-327.7017
14.49512,2.284198,-333.6995
14.52844,63.66911,-324.1039
14.56177,119.798,-312.0345
14.59509,174.2628,-286.951
14.62841,215.1264,-253.4056
14.66173,231.9121,-242.0029
14.69506,253.4606,-220.109
14.72838,259.6296,-197.9013
14.7617,263.837,-189.8089
14.79502,269.7005,-198.9396
14.82834,260.4498,-210.9803
14.86167,241.4297,-229.1966
14.89499,215.8498,-254.7478
14.92831,178.7554,-282.6254
14.96163,130.7285,-306.0236
14.99495,75.55947,-322.0743
15.02828,14.15547,-330.4086
15.0616,-51.78661,-326.2574
15.09492,-112.7629,-315.6072
15.12824,-169.0388,-287.6313
15.16157,-212.5535,-255.4857
15.19489,-217.734,-239.8362
15.22821,-238.7175,-217.99
15.26153,-251.885,-202.2043
15.29485,-257.5269,-194.1762
