Time (s),Position (m)
10:16:08.817,0.067
10:16:09.817,0.067
10:16:10.817,0.067
10:16:11.817,0.067
10:16:12.817,0.067
10:16:13.817,0.067
10:16:14.817,0.067
10:16:15.817,0.067
10:16:16.817,0.067
10:16:17.817,0.067
10:16:18.817,0.067
10:16:19.817,0.066
10:16:20.817,0.066
10:16:21.817,0.067
10:16:22.817,0.067
10:16:23.817,0.067
10:16:24.817,0.067
10:16:25.818,0.067
10:16:26.817,0.067
10:16:27.817,0.067
10:16:28.818,0.066
10:16:29.817,0.066
10:16:30.817,0.067
10:16:31.817,0.067
10:16:32.818,0.066
10:16:33.818,0.066
10:16:34.818,0.067
10:16:35.817,0.066
10:16:36.818,0.066
10:16:37.817,0.066
10:16:38.817,0.066
10:16:39.817,0.066
10:16:40.817,0.066
10:16:41.817,0.066
10:16:42.817,0.066
10:16:43.818,0.066
10:16:44.817,0.066
10:16:45.818,0.066
10:16:46.818,0.065
10:16:47.817,0.065
10:16:48.817,0.066
10:16:49.817,0.065
10:16:50.817,0.065
10:16:51.817,0.065
10:16:52.817,0.065
10:16:53.818,0.065
10:16:54.818,0.065
10:16:55.818,0.065
10:16:56.817,0.065
10:16:57.818,0.064
10:16:58.817,0.064
10:16:59.817,0.064
10:17:00.817,0.064
10:17:01.818,0.064
10:17:02.818,0.064
10:17:03.818,0.064
10:17:04.817,0.064
10:17:05.817,0.063
10:17:06.818,0.063
10:17:07.818,0.064
10:17:08.818,0.064
10:17:09.817,0.063
10:17:10.818,0.063
10:17:11.817,0.063
10:17:12.818,0.064
10:17:13.818,0.063
10:17:14.818,0.063
10:17:15.817,0.063
10:17:16.818,0.063
10:17:17.818,0.062
10:17:18.817,0.062
10:17:19.818,0.062
10:17:20.817,0.062
10:17:21.817,0.062
10:17:22.818,0.062
10:17:23.817,0.062
10:17:24.818,0.062
10:17:25.817,0.062
10:17:26.817,0.062
10:17:27.818,0.063
10:17:28.818,0.063
10:17:29.818,0.061
10:17:30.818,0.061
10:17:31.818,0.06
10:17:32.818,0.06
10:17:33.818,0.06
10:17:34.818,0.06
10:17:35.817,0.06
10:17:36.817,0.06
10:17:37.817,0.06
10:17:38.818,0.06
10:17:39.817,0.06
10:17:40.818,0.06
10:17:41.817,0.06
10:17:42.817,0.06
10:17:43.818,0.06
10:17:44.819,0.059
10:17:45.818,0.059
10:17:46.818,0.059
10:17:47.818,0.06
10:17:48.818,0.059
10:17:49.818,0.059
10:17:50.818,0.059
10:17:51.818,0.059
10:17:52.818,0.059
10:17:53.818,0.059
10:17:54.818,0.059
10:17:55.818,0.058
10:17:56.818,0.058
10:17:57.817,0.058
10:17:58.818,0.058
10:17:59.818,0.058
10:18:00.818,0.058
10:18:01.818,0.058
10:18:02.818,0.058
10:18:03.818,0.057
10:18:04.818,0.057
10:18:05.818,0.057
10:18:06.818,0.059
10:18:07.818,0.057
10:18:08.818,0.057
10:18:09.818,0.057
10:18:10.818,0.057
10:18:11.819,0.057
10:18:12.819,0.057
10:18:13.818,0.056
10:18:14.818,0.057
10:18:15.818,0.057
10:18:16.819,0.057
10:18:17.818,0.056
10:18:18.818,0.057
10:18:19.818,0.056
10:18:20.818,0.057
10:18:21.819,0.056
10:18:22.818,0.056
10:18:23.818,0.056
10:18:24.818,0.056
10:18:25.819,0.056
10:18:26.818,0.055
10:18:27.819,0.056
10:18:28.818,0.056
10:18:29.818,0.056
10:18:30.819,0.056
10:18:31.818,0.056
10:18:32.819,0.056
10:18:33.818,0.056
10:18:34.819,0.056
10:18:35.819,0.056
10:18:36.818,0.055
10:18:37.819,0.056
10:18:38.818,0.056
10:18:39.818,0.055
10:18:40.818,0.055
10:18:41.819,0.056
10:18:42.818,0.056
10:18:43.818,0.055
10:18:44.819,0.055
10:18:45.819,0.055
